case_id,case_type,transaction_ids,settlement_ids,refund_ids,fee_ids,expected_decision,notes
CASE092,borderline_confidence,TXN1108,SET2088,,,AUTO_MATCHED,"TXN1108 matches exactly; TXN1109 is a close but inferior candidate (amount off by 10, name variant). Tests threshold tuning."
CASE093,borderline_confidence,TXN1110,SET2089,,,AUTO_MATCHED,"TXN1110 matches exactly; TXN1111 is a close but inferior candidate (amount off by 10, name variant). Tests threshold tuning."
CASE094,borderline_confidence,TXN1112,SET2090,,,AUTO_MATCHED,"TXN1112 matches exactly; TXN1113 is a close but inferior candidate (amount off by 10, name variant). Tests threshold tuning."
CASE095,borderline_confidence,TXN1114,SET2091,,,AUTO_MATCHED,"TXN1114 matches exactly; TXN1115 is a close but inferior candidate (amount off by 10, name variant). Tests threshold tuning."
CASE096,borderline_confidence,TXN1116,SET2092,,,AUTO_MATCHED,"TXN1116 matches exactly; TXN1117 is a close but inferior candidate (amount off by 10, name variant). Tests threshold tuning."
CASE097,borderline_confidence,TXN1118,SET2093,,,AUTO_MATCHED,"TXN1118 matches exactly; TXN1119 is a close but inferior candidate (amount off by 10, name variant). Tests threshold tuning."
CASE098,batched_fee_three_txns,TXN1120;TXN1121;TXN1122,SET2094,,FEE4015,AUTO_MATCHED,Three transactions batched with one combined platform fee.
CASE099,batched_fee_three_txns,TXN1123;TXN1124;TXN1125,SET2095,,FEE4016,AUTO_MATCHED,Three transactions batched with one combined platform fee.
CASE100,batched_fee_three_txns,TXN1126;TXN1127;TXN1128,SET2096,,FEE4017,AUTO_MATCHED,Three transactions batched with one combined platform fee.
CASE101,batched_fee_three_txns,TXN1129;TXN1130;TXN1131,SET2097,,FEE4018,AUTO_MATCHED,Three transactions batched with one combined platform fee.
